Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2024-12-09T03:44:36+03:00,2024-11-03T12:25:20+03:00,7246,Unoccupied,17570,"-37.810859147772454, 144.98671917327061"
2024-12-09T03:44:36+03:00,2024-11-03T10:33:51+03:00,7243,Present,20634,"-37.81083563445006, 144.9835957644117"
2024-12-09T03:44:36+03:00,2024-11-03T11:34:38+03:00,7243,Unoccupied,20632,"-37.810946413437264, 144.98357746093495"
2024-12-09T03:44:36+03:00,2024-11-03T11:37:53+03:00,7250,Unoccupied,25131,"-37.810785564484966, 144.983362727202"
2024-12-09T03:44:36+03:00,2024-11-03T11:31:24+03:00,7250,Unoccupied,25129,"-37.810889451739584, 144.9833456302623"
2024-12-09T03:44:36+03:00,2024-11-03T13:00:11+03:00,7250,Unoccupied,25126,"-37.811044593293914, 144.98332011166713"
2024-12-09T03:44:36+03:00,2024-11-03T16:01:00+03:00,7250,Unoccupied,25122,"-37.811251798500095, 144.98328601597146"
2024-12-09T03:44:36+03:00,2024-11-03T13:40:04+03:00,7250,Unoccupied,25120,"-37.81136809743835, 144.9832669087227"
2024-12-09T03:44:36+03:00,2024-11-03T14:22:48+03:00,7250,Unoccupied,25115,"-37.811948524327406, 144.98316853256844"
2024-12-09T03:44:36+03:00,2024-11-03T14:02:30+03:00,7250,Unoccupied,25112,"-37.812103502395146, 144.98314277893326"
2024-12-09T03:44:36+03:00,2024-11-03T14:06:28+03:00,7250,Unoccupied,25109,"-37.81225890892537, 144.9831167659197"
2024-12-09T03:44:36+03:00,2024-11-03T14:38:24+03:00,7250,Unoccupied,25103,"-37.81257027579838, 144.9830656005944"
2024-12-09T03:44:36+03:00,2024-11-03T14:53:38+03:00,7250,Unoccupied,25102,"-37.81272145577907, 144.98304026861962"
2024-12-09T03:44:36+03:00,2024-11-03T13:30:05+03:00,7250,Unoccupied,25101,"-37.812773118326504, 144.98303152995115"
2024-12-09T03:44:36+03:00,2024-11-03T10:38:54+03:00,7250,Unoccupied,25100,"-37.81282437251139, 144.98302293872766"
2024-12-09T03:44:36+03:00,2024-11-03T11:56:49+03:00,7250,Unoccupied,25096,"-37.81303274027711, 144.98298791063402"
2024-12-09T03:44:36+03:00,2024-11-03T14:08:55+03:00,7250,Unoccupied,25094,"-37.813136067545116, 144.9829703911222"
2024-12-09T03:44:36+03:00,2024-11-03T10:59:39+03:00,7250,Unoccupied,25093,"-37.81318814136763, 144.9829615384658"
2024-12-09T03:44:36+03:00,2024-11-03T13:55:59+03:00,7250,Unoccupied,25086,"-37.81355037516863, 144.9828996892762"
2024-12-09T03:44:36+03:00,2024-11-03T13:53:53+03:00,7250,Unoccupied,25080,"-37.81447715309443, 144.98274110780673"
2024-12-09T03:44:36+03:00,2024-11-03T10:10:10+03:00,7250,Unoccupied,25077,"-37.814321856229725, 144.98276778517476"
2024-12-09T03:44:36+03:00,2024-11-03T10:20:17+03:00,7250,Unoccupied,25073,"-37.81411556139862, 144.98280316670127"
2024-12-09T03:44:36+03:00,2024-11-03T10:36:25+03:00,7250,Unoccupied,25065,"-37.81499391964768, 144.98265248529412"
